doi,editor,reviewers
10.21105/joss.02831,@Kevin-Mattheus-Moerman,@IgorBaratta;@chennachaos;@finsberg
10.21105/joss.02818,@jni,@rfezzani;@aplyer
10.21105/joss.02825,@xuanxu,@aureliocarnero;@zonca
10.21105/joss.02816,@csoneson,@pacoramon;@sachsmc
10.21105/joss.02828,@pdebuyl,@jordanperr;@tuelwer
10.21105/joss.02827,@arokem,@JonathanReardon;@emdupre
10.21105/joss.02863,@oliviaguest,@khinsen;@mnarayan
10.21105/joss.02829,@melissawm,@juliohm;@tpoisot
10.21105/joss.02810,@cMadan,@DominiqueMakowski;@mmrabe
10.21105/joss.02876,@kakiac,@schnorr
10.21105/joss.02798,@arfon,@arfon
10.21105/joss.02797,@arfon,@arfon
10.21105/joss.02804,@kbarnhart,@johnjarmitage;@cmshobe
10.21105/joss.02763,@mikldk,@gagolews;@brunaw
10.21105/joss.02781,@dhhagan,@neerajdhanraj;@darothen
10.21105/joss.02757,@mbobra,@JBorrow;@arjunsavel
10.21105/joss.02890,@dhhagan,@tscheypidi;@sahilseth
10.21105/joss.02784,@arfon,@williamjameshandley;@kexinrong
10.21105/joss.02911,@Kevin-Mattheus-Moerman,@melund;@BKillen05
10.21105/joss.02762,@kthyng,@kthyng
10.21105/joss.02761,@kthyng,@kthyng
10.21105/joss.02782,@kthyng,@marvinjonathcn;@tscheypidi
10.21105/joss.02765,@sjpfenninger,@konstantinstadler;@romainsacchi
10.21105/joss.02823,@eloisabentivegna,@suchitakulkarni;@bradkav
10.21105/joss.02855,@sbenthall,@soodoku;@sbenthall
10.21105/joss.02830,@melissawm,@jakryd;@dlfivefifty
10.21105/joss.02766,@leouieda,@sadielbartholomew;@ashiklom
10.21105/joss.02767,@jgostick,@marshallmcdonnell;@arose;@marshallmcdonnell
10.21105/joss.02800,@fboehm,@rmhogervorst;@jsgalan
10.21105/joss.02732,@mbobra,@mancellin;@sibirrer
10.21105/joss.02727,@Kevin-Mattheus-Moerman,@grlee77;@agahkarakuzu;@DARSakthi
10.21105/joss.02769,@timtroendle,@pratikvn;@sahilseth
10.21105/joss.02743,@fboehm,@raivivek;@dwinter
10.21105/joss.02813,@kthyng,@milankl;@visr
10.21105/joss.02744,@melissawm,@JamieJQuinn;@zhaowei0566
10.21105/joss.02741,@VivianePons,@milancurcic;@williamfgc
10.21105/joss.02824,@richardjgowers,@hmacdope;@lscalfi
10.21105/joss.02805,@galessiorob,@jdalzatec;@omshinde;@nuest;@martinfleis
10.21105/joss.02807,@arfon,@zingale;@rtfisher
10.21105/joss.02689,@jni,@bogovicj;@haesleinhuepf
10.21105/joss.02721,@KristinaRiemer,@kellykochanski;@arbennett
10.21105/joss.02814,@kyleniemeyer,@decaluwe;@fwitte
10.21105/joss.02879,@meg-simula,@jamtrott;@ramisetti
10.21105/joss.02670,@oliviaguest,@sneakers-the-rat;@pauldmccarthy
10.21105/joss.02695,@sjpfenninger,@brynpickering;@nmstreethran
10.21105/joss.02749,@sbenthall,@jarvist;@sambitdash
10.21105/joss.02685,@danielskatz,@gonsie;@carothersc
10.21105/joss.02812,@melissawm,@stsievert;@torressa
10.21105/joss.02706,@csoneson,@rrrlw;@emilydolson
10.21105/joss.02838,@dpsanders,@mturiansky;@mfherbst
10.21105/joss.02651,@danielskatz,@danielskatz
10.21105/joss.02809,@dpsanders,@goerz;@thowell
10.21105/joss.02654,@arfon,@danhey;@coljac
10.21105/joss.02674,@oliviaguest,@rougier;@rly
10.21105/joss.02668,@oliviaguest,@typically;@vitay
10.21105/joss.02653,@pdebuyl,@coatless;@agisga
10.21105/joss.02705,@Kevin-Mattheus-Moerman,@ethanwharris;@lbrea;@zhangfanmark
10.21105/joss.02699,@meg-simula,@chennachaos;@yangbai90
10.21105/joss.02768,@usethedata,@richardjgowers;@foeroyingur
10.21105/joss.02675,@oliviaguest,@matteomancini;@rly
10.21105/joss.02677,@sjpfenninger,@fneum;@willu47
10.21105/joss.02676,@galessiorob,@GregaVrbancic;@atanikan
10.21105/joss.02629,@mbobra,@teuben;@hasantahir
10.21105/joss.02694,@pibion,@jspaezp;@sigven
10.21105/joss.02646,@danielskatz,@skadio;@prw99r;@r-a-hoggarth
10.21105/joss.02643,@majensen,@xin-huang;@tkchafin
10.21105/joss.02669,@cMadan,@samhforbes;@paxtonfitzpatrick
10.21105/joss.02645,@meg-simula,@fcooper8472;@MiroK
10.21105/joss.02750,@dfm,@pravirkr;@paulray
10.21105/joss.02630,@mikldk,@nistara;@adithirgis
10.21105/joss.02614,@VivianePons,@juliohm;@sauln
10.21105/joss.02693,@pibion,@aquilesC;@caldarolamartin;@mwcraig
10.21105/joss.02671,@jgostick,@keipertk
10.21105/joss.02722,@mikldk,@xin-huang;@nthomasCUBE
10.21105/joss.02621,@oliviaguest,@TomDonoghue;@sappelhoff;@jamesheathers
10.21105/joss.02687,@meg-simula,@nschloe
10.21105/joss.02641,@arfon,@zackdraper;@joshspeagle
10.21105/joss.02663,@arokem,@bblais;@justusschock
10.21105/joss.02608,@harpolea,@AshKelly;@zpace
10.21105/joss.02783,@arfon,@mosteo;@carlosjoserg
10.21105/joss.02579,@jni,@will-moore;@sofroniewn
10.21105/joss.02585,@kbarnhart,@dbuscombe-usgs;@gassmoeller
10.21105/joss.02607,@terrytangyuan,@GregaVrbancic;@ethanwharris
10.21105/joss.02599,@diehlpk,@ziotom78;@andremrsantos
10.21105/joss.02638,@lpantano,@juanvillada
10.21105/joss.02664,@danielskatz,@rafaelfsilva;@Himscipy
10.21105/joss.02597,@harpolea,@eviatarbach;@sadielbartholomew
10.21105/joss.02575,@KristinaRiemer,@mccabete;@r-barnes
10.21105/joss.02791,@gkthiruvathukal,@kinow;@xirdneh
10.21105/joss.02596,@dfm,@smutch;@benjaminpope
10.21105/joss.02583,@mikldk,@sahilseth;@edifice1989
10.21105/joss.02581,@danielskatz,@olebole;@zpace
10.21105/joss.02717,@usethedata,@bradyrx
10.21105/joss.02563,@jgostick,@mkhorton
10.21105/joss.02554,@arfon,@Deech08;@TomGoffrey
10.21105/joss.02550,@dfm,@arm61;@eteq
10.21105/joss.02849,@terrytangyuan,@ablaom;@ppalmes
10.21105/joss.02578,@jni,@puolival
10.21105/joss.02558,@majensen,@Zethson;@arcuri82
10.21105/joss.02704,@terrytangyuan,@degleris1;@henrykironde
10.21105/joss.02514,@diehlpk,@gardner48;@debdeepbh
10.21105/joss.02556,@majensen,@amoeba;@Maghnuso
10.21105/joss.02582,@dfm,@sambit-giri;@sultanier
10.21105/joss.02521,@fboehm,@jacobsoj;@chainsawriot
10.21105/joss.02536,@xuanxu,@zingale;@grburgess
10.21105/joss.02564,@poulson,@jgoldfar;@vissarion;@matbesancon
10.21105/joss.02505,@dfm,@EiffL;@cranmer
10.21105/joss.02515,@VivianePons,@fruzsinaagocs;@wingtorres
10.21105/joss.02624,@jgostick,@yangbai90
10.21105/joss.02527,@Kevin-Mattheus-Moerman,@DARSakthi;@grlee77;@ritagnunes
10.21105/joss.02644,@sjpfenninger,@marouenbg;@krystophny
10.21105/joss.02513,@eloisabentivegna,@kegiljarhus;@bonh
10.21105/joss.02520,@Kevin-Mattheus-Moerman,@PetrKryslUCSD;@TeroFrondelius
